id,gender,program_enrolled,year_level,age,c,java,information_management,oop,python,mysql,web_development
2019-00347,Male,Bachelor of Science in Computer Science,Fourth Year,21,1.75,1.75,2.5,2.5,2.25,2.75,2
2019-00347,Male,Bachelor of Science in Computer Science,Fourth Year,21,1.75,1.75,2.5,2.5,2.25,2.75,2
2019-00353,Male,Bachelor of Science in Computer Science,Fourth Year,21,3,3,2.75,2.25,1.75,3,2.25
2019-00685,Male,Bachelor of Science in Information Technology,Fourth Year,21,1.5,3,3,2,1.5,3,2
2019-00603,Female,Bachelor of Science in Information Technology,Fourth Year,21,2.5,2.5,2.75,2,2,2.5,2
2019-01236,Male,Bachelor of Science in Computer Science,Fourth Year,28,1.25,1.25,1.75,2.25,1.75,2,1.25
2019-00682,Male,Bachelor of Science in Information Technology,Fourth Year,20,2.5,3,2,2.75,1.75,3,2
20190-2018,Female,Bachelor of Science in Computer Science,Fourth Year,29,2.25,2,2.5,2.25,2.5,2.5,1.75
2019-00972,Female,Bachelor of Science in Computer Science,Fourth Year,22,2.25,2,2.5,2.25,2.5,2.75,1.75
sm2014-01112,Male,Bachelor of Science in Computer Science,Fourth Year,22,2.25,2,2.25,2,2.75,3,2
2019-00341,Male,Bachelor of Science in Information Technology,Fourth Year,22,2.5,3,1.75,3,1.25,3,1.75
2019-00650,Male,Bachelor of Science in Information Technology,Fourth Year,21,1.75,1.75,2,2.75,2.25,2.25,2
2019-00715,Female,Bachelor of Science in Information Technology,Fourth Year,21,2.75,2.25,1.75,1.75,2.25,3,1.75
2019-00640,Female,Bachelor of Science in Computer Science,Fourth Year,21,2,3,2.25,2,2,2.75,1.75
2020-01920,Female,Bachelor of Science in Information Technology,Third Year,20,1.75,1.75,1.75,1.75,1.25,2.25,1.5
2020-1924,Female,Bachelor of Science in Information Technology,Third Year,20,1.25,1.5,2.5,2.75,2,1.75,1.75
2019-00458,Female,Bachelor of Science in Computer Science,Fourth Year,21,1.5,2,2.5,1.25,1.75,2.25,2
2016-00101,Male,Bachelor of Science in Computer Science,Fourth Year,23,1.25,1.5,2.25,2,1.5,1.25,1
2016-00661,Male,Bachelor of Science in Information Technology,Fourth Year,23,1.75,2.75,2.25,3,2.25,3,2
2019-00880,Female,Bachelor of Science in Computer Science,Fourth Year,22,1.75,1.5,2.25,2.5,1.25,1.5,1.25
2019-00188,Male,Bachelor of Science in Information Technology,Fourth Year,21,2.25,2.75,3,2,1.75,2.5,2.5
2019-00070,Female,Bachelor of Science in Computer Science,Fourth Year,21,1.5,2.25,2,2.75,1.5,2.75,2
2016-00294,Male,Bachelor of Science in Computer Science,Fourth Year,22,1.75,2.25,1.75,1.25,1,2.25,1.25
2019-000215,Male,Bachelor of Science in Computer Science,Fourth Year,22,1.75,2.5,2.75,3,2,3,2.5
2015-03636,Male,Bachelor of Science in Computer Science,Fourth Year,23,2.25,2,2,2.75,1.5,3,1.75
2019-01167,Male,Bachelor of Science in Computer Science,Fourth Year,21,1.75,2.5,2.5,3,1.25,3,1.5
2019-01303,Male,Bachelor of Science in Computer Science,Third Year,21,2,3,2.75,2.5,1.75,3,2.25
2019-01233,Female,Bachelor of Science in Computer Science,Fourth Year,23,1.5,2.25,2.75,2.5,1.75,3,2.25
2019-00335,Male,Bachelor of Science in Information Technology,Fourth Year,22,2,1.75,1.5,3,1.75,3,2.25
2019-00082,Female,Bachelor of Science in Information Technology,Fourth Year,22,2,2.25,2.5,2,1.5,3,2
2019-00461,Female,Bachelor of Science in Computer Science,Fourth Year,21,2.25,3,3,2.5,1.25,3,1.5
2019-01214,Male,Bachelor of Science in Information Technology,Third Year,21,1.5,1.5,2.5,2.5,1.25,2.25,2.5
2018-02655,Male,Bachelor of Science in Computer Science,Third Year,22,3,2.75,2.5,2.25,2,3,3
2019-00557,Female,Bachelor of Science in Computer Science,Fourth Year,23,1.75,2.25,2,3,1.25,2.75,1.75
2020-01302,Female,Bachelor of Science in Computer Science,Third Year,22,2.5,3,2.75,2.75,1.5,2.5,2
2019-00381,Female,Bachelor of Science in Computer Science,Fourth Year,21,2.25,2.5,2,2.75,1.25,3,1.75
2020-01319,Male,Bachelor of Science in Computer Science,Third Year,21,2,1.5,2.25,1.5,1.25,2.75,1.5
2020-01178,Male,Bachelor of Science in Computer Science,Third Year,22,1.75,1.5,2,2,1.5,3,1.25
2020-01173,Female,Bachelor of Science in Computer Science,Third Year,21,2,2.75,3,3,2.25,3,1.5
2020-01241,Male,Bachelor of Science in Computer Science,Third Year,21,1.5,3,2.25,2.75,1.5,2.5,1.5
202001305,Female,Bachelor of Science in Computer Science,Third Year,20,1.75,3,2,2.5,2,3,1.75
2020-01854,Male,Bachelor of Science in Computer Science,Third Year,24,2,2,2.75,2,1.75,3,2.25
2019-00175,Female,Bachelor of Science in Computer Science,Fourth Year,22,1.25,2,2,2.5,2,2.75,1.5
2020-01186,Male,Bachelor of Science in Computer Science,Third Year,21,1.5,3,2,2.25,2.5,3,1.5
2020-01286,Female,Bachelor of Science in Computer Science,Third Year,20,2.25,2.25,2,3,1.5,3,2.75
2020-01306,Male,Bachelor of Science in Computer Science,Third Year,21,2.75,3,3,2.25,1.75,3,2.5
2019-00442,Male,Bachelor of Science in Computer Science,Fourth Year,21,1.75,2.5,2.75,2.75,1.75,3,1.75
2018-03941,Male,Bachelor of Science in Computer Science,Third Year,23,2.75,2.25,2,2,1.25,2.75,2.25
2020-01853,Male,Bachelor of Science in Computer Science,Third Year,21,1.5,2.25,2,2.75,1.5,2.75,1.5
2019-00640,Female,Bachelor of Science in Computer Science,Fourth Year,21,1.75,2.75,2.75,2.25,1.25,2.5,1.25
2020-01296,Male,Bachelor of Science in Computer Science,Third Year,20,1.75,2.5,1.5,1.75,2.5,2.25,1.75
2020-04110,Male,Bachelor of Science in Computer Science,Third Year,21,2,2,2.75,3,1.5,1.5,1.75
2020-01312,Male,Bachelor of Science in Computer Science,Third Year,20,1.25,2,1.5,2.75,1.25,2.5,1.75
2020-01246,Female,Bachelor of Science in Computer Science,Third Year,20,1.75,2.75,2.5,3,1.25,2.75,1.75
2020-02164,Male,Bachelor of Science in Computer Science,Third Year,20,2.75,3,2.5,3,2,2.25,1.5
2019-02586,Male,Bachelor of Science in Information Technology,Fourth Year,21,1.25,2.25,3,2.75,1.75,3,2.5
2019-00566,Female,Bachelor of Science in Information Technology,Fourth Year,21,1.5,2,2.5,2.75,1.75,2,2
2020-01157,Female,Bachelor of Science in Computer Science,Third Year,22,2,2.75,2.25,3,1.5,3,3
2020-01243,Male,Bachelor of Science in Computer Science,Third Year,20,1.75,2.25,1.75,2.5,1.25,1.75,2
2020-01849,Male,Bachelor of Science in Computer Science,Third Year,20,1.75,3,2.75,3,2,3,2.25
2019-02811,Male,Bachelor of Science in Computer Science,Third Year,22,1.75,2,2.25,2.75,1.5,2,1.5
2019-02659,Male,Bachelor of Science in Computer Science,Third Year,22,1.5,2.25,2,2.75,1.5,2.25,1.5
2019-000685,Male,Bachelor of Science in Information Technology,Fourth Year,21,1.75,2,2.25,3,2,2.5,2
2015-03664,Male,Bachelor of Science in Computer Science,Third Year,25,1.5,2,2,2.25,2,1.75,1.5
2019-01246,Male,Bachelor of Science in Computer Science,Fourth Year,23,1.25,2,2.5,1.5,2,1.25,1.5
2020-02163,Female,Bachelor of Science in Computer Science,Third Year,20,1.5,1,1.25,2.25,2,2.5,1.5
2020-01254,Male,Bachelor of Science in Computer Science,Third Year,21,1.25,1.75,1.5,1.75,1.25,1.5,1.5
2016-00294,Male,Bachelor of Science in Computer Science,Fourth Year,22,1.75,2,1.75,2,1.25,1.25,1.25
2017-00269,Male,Bachelor of Science in Computer Science,Fourth Year,22,1.5,2.25,2.5,2,1.5,2.5,1.75
2019-00082,Female,Bachelor of Science in Information Technology,Fourth Year,22,1.25,2,2,2.75,1.25,1.5,1.5
2018-02792,Female,Bachelor of Science in Computer Science,Third Year,23,2,2,1.75,2.25,2.5,1.5,1.75
2019-00650,Female,Bachelor of Science in Information Technology,Fourth Year,21,1.25,1.75,1.5,2,1.75,2.75,2
2019-02018,Female,Bachelor of Science in Computer Science,Fourth Year,29,1.5,2.75,2.5,3,1.5,2.75,1.5
2019-02403,Female,Bachelor of Science in Information Technology,Fourth Year,22,1.25,1.5,1.75,1.75,1.5,1.5,1.5
2020-01849,Male,Bachelor of Science in Computer Science,Third Year,20,2,3,3,2.75,3,3,2.5
2020-03931,Male,Bachelor of Science in Computer Science,Third Year,21,1.5,2,1.5,2.75,1.25,2.5,2
2020-03487,Male,Bachelor of Science in Computer Science,Third Year,20,1.75,2.5,2.25,3,2,2.5,2.25
2020-01393,Female,Bachelor of Science in Computer Science,Third Year,20,1.25,3,2.25,3,1.5,2.25,2
2020-04112,Male,Bachelor of Science in Computer Science,Third Year,23,1.25,2.25,2.5,2.75,1.5,2.75,1.5
2020-02173,Male,Bachelor of Science in Computer Science,Third Year,21,2,2.5,2.75,2.25,1.5,1.75,2.25
2020-03492,Male,Bachelor of Science in Computer Science,Third Year,21,1.75,2.25,2,2,1.5,2.5,2
2020-01176,Male,Bachelor of Science in Computer Science,Third Year,20,2,2.25,1.75,2,2,1.5,1.25
2020-01157,Female,Bachelor of Science in Computer Science,Third Year,22,1.75,2.25,2,2.25,1.5,2.75,2
2020-01162,Male,Bachelor of Science in Computer Science,Third Year,20,2.25,2.5,2,3,1.5,2,1.5
2019-02811,Male,Bachelor of Science in Computer Science,Third Year,22,1.5,2.5,2.75,3,2,2,2
2019-00977,Better not to mention,Bachelor of Science in Information Technology,Fourth Year,21,1.5,2.75,2.75,3,3,3,2.75
2019-00080,Male,Bachelor of Science in Computer Science,Fourth Year,22,1.5,2.25,2,2.75,1.5,2.25,1.5
2019-02659,Male,Bachelor of Science in Computer Science,Third Year,22,1.5,2.25,2.5,2.75,1.75,2.25,2.25
2020-02175,Female,Bachelor of Science in Computer Science,Third Year,21,1.25,2.5,2.75,2,1.25,1.25,2
2020-01246,Female,Bachelor of Science in Computer Science,Third Year,20,1.75,2,2,2.75,2,2,2
2019-00795,Male,Bachelor of Science in Information Technology,Fourth Year,22,1.5,2.25,1.25,2.75,2.25,2.25,2
2003-00533,Female,Bachelor of Science in Computer Science,Fourth Year,37,1.75,2.25,1.25,2.25,1.25,1.5,1.5
2020-02177,Male,Bachelor of Science in Computer Science,Third Year,20,1.75,1.25,2,1.25,2.25,2.75,2
2020-01191,Better not to mention,Bachelor of Science in Computer Science,Third Year,21,1.5,2.25,2,2.75,2,3,2
2020-01308,Male,Bachelor of Science in Computer Science,Third Year,21,2,2.25,2.5,2,2,2.75,2
2020-04064,Male,Bachelor of Science in Computer Science,Third Year,21,2,2.25,2.25,2.25,2,2.75,1.75
2020-01324,Female,Bachelor of Science in Computer Science,Third Year,20,1.75,1.75,2,2.25,1.25,1.25,2
2020-01300,Female,Bachelor of Science in Computer Science,Third Year,21,2,2,2.5,2.75,1.25,1.25,2
2020-02170,Male,Bachelor of Science in Computer Science,Third Year,20,3,2.5,3,2.75,2.25,2.5,2
2020-01315,Male,Bachelor of Science in Computer Science,Third Year,23,1.5,2.5,2.5,2.75,2,2.75,2
2020-01307,Male,Bachelor of Science in Computer Science,Third Year,21,2,2.25,2.5,2.25,2,2.75,2
2020-01270,Male,Bachelor of Science in Computer Science,Third Year,21,2,2.5,2.5,3,1.5,3,2.5
2019-00496,Male,Bachelor of Science in Computer Science,Fourth Year,21,2,2,2.5,2.75,2,2,1.5
2019-00353,Male,Bachelor of Science in Computer Science,Fourth Year,21,3,3,2.25,2.25,2,2.75,2.5
2020- 03383,Male,Bachelor of Science in Computer Science,Third Year,20,3,3,3,3,3,3,3
2020-01896,Female,Bachelor of Science in Information Technology,Third Year,19,2,2.25,2.5,3,2.25,3,1.5
2020-01935,Male,Bachelor of Science in Information Technology,Third Year,20,1,1,2,1.25,1.25,1.25,1.25
2017-00492,Female,Bachelor of Science in Computer Science,Fourth Year,21,1.25,1.25,2.5,2,2,2.5,2
2017-00195,Male,Bachelor of Science in Computer Science,Fourth Year,21,1,1.25,2.25,1.25,1.25,1.25,1
2020-01922,Male,Bachelor of Science in Information Technology,Third Year,20,2,2.25,3,3,2,3,2.5
2020-01904,Female,Bachelor of Science in Information Technology,Third Year,20,1.25,1.25,2.25,2.5,2,3,1.5
2020-1926,Male,Bachelor of Science in Information Technology,Third Year,20,2,2.25,2.25,2.5,2.25,3,2.5
2020-01932,Female,Bachelor of Science in Information Technology,Third Year,21,2,2,2.25,2.75,2,2,2.25
2020-1937,Male,Bachelor of Science in Information Technology,Third Year,21,2.25,2.25,2.5,2.75,2,3,3
2020-01801,Male,Bachelor of Science in Computer Science,Third Year,21,3,3,3,3,2,2.25,2
2014-03161,Male,Bachelor of Science in Information Technology,Third Year,25,2,2.25,2.5,2.75,2,2.75,2
2020-01871,Male,Bachelor of Science in Information Technology,Third Year,21,1.25,1.25,1.25,1.25,1.25,1.25,2
2020-01915,Male,Bachelor of Science in Information Technology,Third Year,22,2,2,2.25,2.5,2,2.75,2
2020-01914,Male,Bachelor of Science in Information Technology,Third Year,20,2.25,3,2.75,3,2.25,2.25,2.25
2020-01939,Female,Bachelor of Science in Information Technology,Third Year,21,2.75,2.75,2.75,2.25,2.25,3,1.25
2020-01872,Male,Bachelor of Science in Information Technology,Third Year,20,2.5,2.75,2.5,2.25,2,2,2
2020-01905,Male,Bachelor of Science in Information Technology,Third Year,21,3,2.25,3,3,2.25,3,2
2020-01893,Better not to mention,Bachelor of Science in Information Technology,Third Year,20,2.5,2.5,1.25,1.25,1.25,1.5,1.25
2019-00850,Female,Bachelor of Science in Computer Science,Fourth Year,21,2.75,2.75,1.25,2.5,1,1.25,1.25
2020-01878,Male,Bachelor of Science in Information Technology,Third Year,21,2.75,2.25,2,2.75,1.75,2.75,2
2020-01924,Female,Bachelor of Science in Information Technology,Third Year,21,2.25,2,2.25,2.75,2,3,2
2019-00487,Female,Bachelor of Science in Computer Science,Fourth Year,21,1.75,2.25,2.75,2.75,1.75,3,2
2020-03755,Male,Bachelor of Science in Information Technology,Fourth Year,22,1.75,1.25,2.5,1.75,3,2.75,2
2020-03761,Male,Bachelor of Science in Computer Science,Third Year,29,2.25,2,2.75,3,2,1.75,1.25
2020-04111,Male,Bachelor of Science in Computer Science,Third Year,21,2.25,2,2.75,2.25,2,3,2.25
2020-01305,Better not to mention,Bachelor of Science in Computer Science,Third Year,20,2.25,3,3,3,2.75,3,2.25
2020-01297,Female,Bachelor of Science in Computer Science,Third Year,20,2.25,2,2,2.75,2.75,2,2.25
2020-01281,Male,Bachelor of Science in Computer Science,Third Year,21,2.75,2.25,2,2.5,1.75,2.25,2.25
2019-00149,Male,Bachelor of Science in Information Technology,Fourth Year,21,2.75,2,2.25,2.25,2.5,2.5,1.5
2020-01186,Better not to mention,Bachelor of Science in Computer Science,Third Year,21,2.5,3,2.5,2.5,2.5,2.75,2.25
2019-01060,Female,Bachelor of Science in Computer Science,Fourth Year,26,1.25,2.25,2,2.75,1,2.25,2
2020-01290,Better not to mention,Bachelor of Science in Computer Science,Third Year,20,2.5,3,3,2.75,1.25,2.5,1.25
2020-01269,Male,Bachelor of Science in Computer Science,Third Year,22,2.25,3,2.75,2.5,2,2.25,1.75
2020-01290,Better not to mention,Bachelor of Science in Computer Science,Third Year,20,2,2.25,2.75,3,1,2.25,1.25
2020-01319,Male,Bachelor of Science in Computer Science,Third Year,21,1,2,1.25,1.5,1,1.75,1.25
2016-00294,Male,Bachelor of Science in Computer Science,Fourth Year,22,1.75,1.75,2.25,2,1.25,1.5,1.25
2020-01302,Female,Bachelor of Science in Computer Science,Third Year,22,1.75,3,2,3,1.25,2.5,3
2017-01253,Female,Bachelor of Science in Information Technology,Fourth Year,22,1,1.25,1.5,1.75,1,1.5,1.25
2019-01721,Male,Bachelor of Science in Computer Science,Third Year,22,3,3,2.25,2.5,1,1.25,1.5
2020-04110,Male,Bachelor of Science in Computer Science,Third Year,21,1.75,3,2.5,2.75,2.25,3,2.5
2020-01293,Female,Bachelor of Science in Computer Science,Third Year,21,1.5,2.5,2.75,2,1,1.25,2.25
2019-00903,Female,Bachelor of Science in Information Technology,Fourth Year,21,1.25,2,1.25,2.75,1.25,3,1.25
2017-00134,Female,Bachelor of Science in Information Technology,Fourth Year,21,1.25,2.25,2.25,2.75,1,2.25,1
2019-00206,Male,Bachelor of Science in Information Technology,Fourth Year,22,2,2,2.75,2.75,2.25,3,2
201901299,Better not to mention,Bachelor of Science in Information Technology,Fourth Year,23,1.75,2,2.25,2.75,2.25,2.5,2
2019-00998,Female,Bachelor of Science in Computer Science,Fourth Year,21,1,1.25,2.5,2.5,2,1.25,1.25
2020-01920,Female,Bachelor of Science in Information Technology,Third Year,20,2,2,3,2.5,2.25,1.25,1.5
2020-01890,Female,Bachelor of Science in Information Technology,Third Year,20,2,3,2.25,2.75,2.5,2.75,2.75
2020-01861,Male,Bachelor of Science in Information Technology,Third Year,21,2.25,2.25,2.75,2.75,2,2,1.5
2020-01950,Male,Bachelor of Science in Information Technology,Third Year,20,1.25,1.25,3,2.5,1.25,1.5,1.25
